DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
7.573017256052546,38,1,41,3,3,225,1,54,397,0,906,2013,1,2,4,1
7.234177179749849,84,3,87,2,2,276,1,41,407,0,916,2017,1,1,3,0
7.155396301896734,58,1,62,3,3,179,1,74,412,0,936,2015,2,5,3,0
5.267858159063328,27,1,30,1,6,72,1,44,412,0,936,2011,4,11,1,0
7.028201432058005,34,1,37,3,3,464,0,921,232,1,41,2014,2,6,3,0
6.740519359606223,71,1,74,3,3,272,1,65,412,0,936,2015,3,7,2,0
6.520621127558696,30,1,33,3,3,475,0,936,212,1,63,2018,4,11,2,2
6.111467339502679,25,1,28,1,5,428,0,936,150,1,38,2011,1,3,1,0
7.315218389752975,23,2,26,1,4,106,1,74,347,0,936,2015,4,10,4,3
5.983936280687191,53,1,57,3,3,276,1,41,355,0,936,2012,4,12,1,0
6.208590026096629,13,1,16,3,3,333,1,52,412,0,936,2016,1,3,1,1
4.820281565605037,34,1,37,3,3,55,1,22,403,0,936,2015,2,4,1,0
7.756195343948118,30,1,33,3,3,459,0,906,68,1,36,2010,3,9,5,0
6.85751406254539,58,1,62,3,3,249,1,63,395,0,941,2010,3,7,2,0
5.3706380281276624,40,1,43,2,2,108,1,43,412,0,936,2016,4,12,1,0
