Unnamed: 0,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
36013,1404.0,AA,D,AA,3,3,YUL,CA,941,MIA,US,33,2014,4,10,3,F
762,194.0,U7,I,U7,1,1,YIP,US,43,YHM,CA,936,2010,4,12,1,P
47770,436.0,EV,D,EV,3,3,YYZ,CA,936,ORD,US,41,2016,1,2,1,F
42138,1513.0,AA,D,AA,3,3,YUL,CA,941,DFW,US,74,2015,1,1,4,F
54473,331.0,EV,D,EV,3,3,YUL,CA,941,EWR,US,21,2017,2,4,1,F
19863,1081.0,OO,D,OO,3,3,YVR,CA,906,LAX,US,91,2012,4,12,3,F
11428,2514.0,US,D,US,3,3,BOS,US,13,YVR,CA,906,2011,3,7,6,F
40999,395.0,EV,D,EV,3,3,YXU,CA,936,EWR,US,21,2015,1,1,1,F
44283,136.0,FX,D,FX,3,3,GFK,US,66,YWG,CA,926,2016,1,3,1,G
18615,348.0,UA,D,UA,3,3,YYZ,CA,936,EWR,US,21,2012,3,7,1,F
5379,802.0,YX,D,YX,2,2,YUL,CA,941,CLT,US,36,2010,1,3,2,F
21545,559.0,QX,D,QX,2,2,YEG,CA,916,SEA,US,93,2012,2,5,2,F
20595,614.0,9L,D,9L,2,2,EWR,US,21,YHZ,CA,951,2012,3,7,2,F
30207,2141.0,5Y,I,5Y,3,3,YWG,CA,926,ANC,US,1,2014,2,5,5,P
24985,1003.0,DL,D,DL,3,3,BUF,US,22,YWG,CA,926,2013,4,12,3,L
15083,127.0,QX,D,QX,2,2,YVR,CA,906,SEA,US,93,2011,3,9,1,F
49217,453.0,QX,D,QX,2,2,SEA,US,93,YYC,CA,916,2016,2,5,1,F
40508,1019.0,UA,D,UA,3,3,DEN,US,82,YEG,CA,916,2015,2,4,3,F
5151,489.0,S5,D,S5,2,2,YUL,CA,941,IAD,US,38,2010,2,4,1,F
54290,1081.0,OO,D,OO,3,3,YVR,CA,906,LAX,US,91,2017,4,12,3,F
28130,328.0,EV,D,EV,3,3,YOW,CA,936,EWR,US,21,2013,2,4,1,F
47236,588.0,ZW,D,ZW,2,2,YYZ,CA,936,CLT,US,36,2016,1,3,2,F
4555,588.0,ZW,D,ZW,2,2,CLT,US,36,YYZ,CA,936,2010,2,4,2,F
20158,1081.0,OO,L,OO,3,3,LAX,US,91,YVR,CA,906,2012,2,5,3,F
60024,453.0,QX,D,QX,2,2,SEA,US,93,YYC,CA,916,2018,4,11,1,F
37619,987.0,FX,D,FX,3,3,YWG,CA,926,LCK,US,44,2015,4,10,2,G
26348,803.0,ZW,D,ZW,2,2,CLT,US,36,YUL,CA,941,2013,4,12,2,F
5328,347.0,YX,D,YX,2,2,PHL,US,23,YYZ,CA,936,2010,4,11,1,F
44731,960.0,5X,D,5X,3,3,YYC,CA,916,FSD,US,67,2016,3,8,2,G
6415,797.0,OO,D,OO,3,3,SLC,US,87,YVR,CA,906,2010,2,5,2,F
8469,1534.0,GFQ,D,GFQ,1,4,LRD,US,74,YHM,CA,936,2011,4,12,4,P
36165,739.0,EV,D,EV,3,3,ATL,US,34,YYZ,CA,936,2014,1,2,2,F
54564,489.0,YV,D,YV,2,2,IAD,US,38,YUL,CA,941,2017,3,9,1,F
20794,515.0,ZW,D,ZW,2,2,PHL,US,23,YQB,CA,941,2012,1,3,2,F
58677,331.0,YX,L,YX,2,2,YUL,CA,941,EWR,US,21,2018,1,2,1,F
10539,1039.0,US,D,US,3,3,YYC,CA,916,LAS,US,85,2011,2,5,3,F
42818,328.0,EV,D,EV,3,3,EWR,US,21,YOW,CA,936,2015,4,10,1,F
59587,994.0,DL,D,DL,3,3,ATL,US,34,YUL,CA,941,2018,1,3,2,F
39999,2410.0,UA,D,UA,3,3,PHL,US,23,YVR,CA,906,2015,4,11,5,F
37942,496.0,5X,D,5X,3,3,SDF,US,52,YYZ,CA,936,2015,4,11,1,G
28462,708.0,EV,D,EV,3,3,ORD,US,41,YWG,CA,926,2013,4,12,2,F
547,226.0,U7,I,U7,1,1,TOL,US,44,YHM,CA,936,2010,1,2,1,P
19526,1239.0,S5,D,S5,2,2,ORD,US,41,YHZ,CA,951,2012,1,2,3,F
27405,1513.0,AA,D,AA,3,3,YUL,CA,941,DFW,US,74,2013,2,4,4,F
44923,440.0,FX,D,FX,3,3,YYZ,CA,936,IND,US,42,2016,4,10,1,G
39120,128.0,KAH,D,KAH,1,6,LKE,US,93,ZNA,CA,906,2015,2,5,1,F
1911,540.0,9L,D,9L,2,2,RDU,US,36,YYZ,CA,936,2010,4,12,2,F
38004,93.0,KAH,D,KAH,1,6,YYJ,CA,906,BFI,US,93,2015,3,9,1,L
45694,182.0,9E,D,9E,2,2,YYZ,CA,936,SYR,US,22,2016,2,4,1,F
1736,224.0,KAH,D,KAH,1,6,YIG,CA,906,KEH,US,93,2010,2,5,1,F
40069,436.0,S5,D,S5,2,2,ORD,US,41,YYZ,CA,936,2015,2,4,1,F
23374,395.0,5X,D,5X,3,3,MSP,US,63,YWG,CA,926,2013,3,9,1,G
19743,751.0,ZW,D,ZW,2,2,CLT,US,36,YOW,CA,936,2012,4,11,2,F
